77198927 function calls (77187189 primitive calls) in 127.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.003    0.000 zipfile.py:1792(writestr)
       31    0.000    0.000    0.005    0.000 base.py:237(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method zlib.compressobj}
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      129    0.000    0.000    0.001    0.000 cell.py:212(value)
       37    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
      152    0.000    0.000    0.000    0.000 cell_style.py:29(__set__)
       79    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      151    0.000    0.000    0.000    0.000 ElementTree.py:814(add_qname)
       55    0.000    0.000    0.001    0.000 base.py:97(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        9    0.000    0.000    0.006    0.001 ElementTree.py:693(write)
        9    0.000    0.000    0.001    0.000 argparse.py:1330(__init__)
        3    0.000    0.000    0.011    0.004 text.py:1(<module>)
        3    0.000    0.000    0.037    0.012 _writer.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       10    0.000    0.000    0.001    0.000 zipfile.py:1608(_open_to_write)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.060    0.020 numbers.py:1(<module>)
       54    0.000    0.000    0.001    0.000 base.py:77(__init__)
       53    0.000    0.000    0.001    0.000 fills.py:84(__init__)
      108    0.000    0.000    0.001    0.000 sequence.py:26(<listcomp>)
       37    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
      111    0.000    0.000    0.000    0.000 argparse.py:1383(register)
       65    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       50    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.002    0.002 runner.py:192(run)
      214    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
      110    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 spreadsheet_drawing.py:236(SpreadsheetDrawing)
       97    0.000    0.000    0.002    0.000 _parser.py:94(closegroup)
       30    0.000    0.000    0.000    0.000 argparse.py:1473(_add_action)
        6    0.000    0.000    0.002    0.000 sequence.py:74(to_tree)
       29    0.000    0.000    0.000    0.000 cell.py:150(check_string)
      150    0.000    0.000    0.000    0.000 namespace.py:4(namespaced)
      109    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
      539    0.000    0.000    0.000    0.000 <frozen codecs>:276(reset)
       59    0.000    0.000    0.000    0.000 enum.py:728(__delattr__)
       10    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       79    0.000    0.000    0.000    0.000 <frozen os>:747(encodekey)
        1    0.000    0.000    0.012    0.012 ElementTree.py:1(<module>)
       21    0.000    0.000    0.000    0.000 enum.py:913(_check_for_existing_members_)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
      129    0.000    0.000    0.000    0.000 styleable.py:133(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       61    0.000    0.000    0.000    0.000 enum.py:188(__get__)
        6    0.000    0.000    0.001    0.000 views.py:83(__init__)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       65    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        2    0.000    0.000    0.009    0.004 workbook.py:58(__init__)
       16    0.000    0.000    0.000    0.000 argparse.py:594(_format_args)
        6    0.000    0.000    0.003    0.000 header_footer.py:231(__init__)
       55    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        1    0.000    0.000    0.013    0.013 chartsheet.py:1(<module>)
        2    0.000    0.000    0.001    0.000 enum.py:874(_convert_)
        1    0.000    0.000    0.000    0.000 plotarea.py:74(PlotArea)
    60/54    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {built-in method nt.close}
        1    0.000    0.000    0.001    0.001 table.py:672(PivotField)
        1    0.000    0.000    0.008    0.008 chartspace.py:1(<module>)
        1    0.000    0.000    0.001    0.001 plotarea.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _reader.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       11    0.000    0.000    0.000    0.000 ElementTree.py:983(register_namespace)
       14    0.000    0.000    0.000    0.000 enum.py:959(_find_data_type_)
        2    0.000    0.000    0.005    0.003 workbook.py:90(_setup_styles)
       10    0.000    0.000    0.000    0.000 zipfile.py:1149(write)
       55    0.000    0.000    0.001    0.000 protection.py:15(__init__)
       22    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.103    0.103 spreadsheet_drawing.py:1(<module>)
        6    0.000    0.000    0.001    0.000 page.py:39(__init__)
        1    0.000    0.000    0.003    0.003 graphic.py:1(<module>)
        8    0.000    0.000    0.000    0.000 gettext.py:467(find)
        6    0.000    0.000    0.001    0.000 protection.py:75(__init__)
        6    0.000    0.000    0.001    0.000 properties.py:64(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.write}
        5    0.000    0.000    0.008    0.002 protection.py:1(<module>)
        1    0.000    0.000    0.015    0.015 tempfile.py:1(<module>)
      212    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        8    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       12    0.000    0.000    0.000    0.000 argparse.py:1553(_get_optional_kwargs)
        8    0.000    0.000    0.001    0.000 gettext.py:507(translation)
        1    0.000    0.000    0.000    0.000 fonts.py:32(Font)
      187    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.002    0.001 argparse.py:1730(__init__)
        1    0.000    0.000    0.000    0.000 table.py:862(TableDefinition)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
       18    0.000    0.000    0.000    0.000 <frozen ntpath>:150(splitdrive)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
        9    0.000    0.000    0.006    0.001 ElementTree.py:1081(tostring)
        1    0.000    0.000    0.028    0.028 marker.py:1(<module>)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
       52    0.000    0.000    0.000    0.000 numbers.py:160(__set__)
       55    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       22    0.000    0.000    0.000    0.000 indexed_list.py:14(__init__)
      304    0.000    0.000    0.000    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 cache.py:975(CacheDefinition)
       10    0.000    0.000    0.000    0.000 zipfile.py:370(__init__)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:206(split)
